time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl
108,65,442368,6775,1000.0,0.2053954303264618,-19.77972064,0.0003,0.49284320399165155,0.2,0.0187744140625,1070,-0.0009577270364388823,0.9931052280589938,-0.4866567552089691,0.0017054427
109,65,446464,6835,1000.0,0.340330570936203,-20.24565562,0.0003,0.9692990988492965,0.2,0.027734375,1080,0.000618496141396463,0.9869570378214121,-0.6061126530170441,0.0029237024
110,65,450560,6896,1000.0,0.35950055718421936,-20.180006430000002,0.0003,0.7429540231823921,0.2,0.03525390625,1090,0.00036862786510027945,0.9861232219263911,-0.7100374832749367,0.0058943974
111,65,454656,6956,1000.0,0.5105628967285156,-20.61526511,0.0003,1.135082982480526,0.2,0.036962890625,1100,-0.0010270485305227338,0.9862496564164758,-0.7788781210780144,0.0061009047
112,65,458752,7023,1000.0,0.43574613332748413,-20.795761940000002,0.0003,1.3208601981401444,0.2,0.0327392578125,1110,-0.0005642074334900826,0.9743564091622829,-0.977576094865799,0.0022921911
113,65,462848,7088,1000.0,0.35189294815063477,-20.494285610000002,0.0003,1.142399713397026,0.2,0.0485107421875,1120,-0.0001457347418181598,0.9861805643886328,-0.9833702251315117,0.0070153493
114,65,466944,7156,1000.0,0.5389418005943298,-20.44389097,0.0003,1.3751155316829682,0.2,0.0960205078125,1130,-0.0029949172807391734,0.9777920134365559,-0.8880191996693612,0.009201649
115,65,471040,7221,1000.0,0.37862467765808105,-20.385841100000004,0.0003,1.0008519053459168,0.2,0.0578857421875,1140,-0.0018718870356678962,0.9836054220795631,-0.879524739086628,0.0064499597
116,65,475136,7279,1000.0,0.6886584162712097,-19.787069760000005,0.0003,1.992910447716713,0.2,0.006005859375,1150,-0.0006581179972272366,0.9607521742582321,-0.6237297922372818,0.0012960576
117,65,479232,7341,1000.0,0.7370299100875854,-19.686200050000004,0.0003,1.389275275170803,0.2,0.0104736328125,1160,-0.0006012656085658818,0.9783059507608414,-0.6251143231987953,0.0023037838
118,65,483328,7402,1000.0,0.36663317680358887,-18.84828824,0.0003,1.061812625825405,0.2,0.025439453125,1170,-0.0017884398635942488,0.9742951337248087,-0.571969099342823,0.0047074393
119,65,487424,7464,1000.0,0.43392759561538696,-19.34046689,0.0003,1.1356172531843185,0.2,0.009619140625,1180,-0.0011356270755641163,0.9808740522712469,-0.4940135933458805,0.002048651
120,65,491520,7526,1000.0,0.3870481252670288,-19.836956880000002,0.0003,1.0355067297816276,0.2,0.0062255859375,1190,0.0014306973956990988,0.9764873199164867,-0.4214731052517891,0.0010376994
121,65,495616,7587,1000.0,0.2761809527873993,-20.26946517,0.0003,0.7923939198255538,0.2,0.011669921875,1200,-9.252735180780292e-05,0.990234212949872,-0.46425231024622915,0.0026563024
122,65,499712,7649,1000.0,0.18046416342258453,-20.59286005,0.0003,0.5055848680436611,0.2,0.01640625,1210,0.00023580871056765317,0.9904134245589375,-0.36319026052951814,0.0029251417
123,65,503808,7709,1000.0,0.377005398273468,-20.25271724,0.0003,1.0158042803406715,0.2,0.011279296875,1220,-0.0009722514485474675,0.9865720020607114,-0.42159867882728574,0.0070765917
124,65,507904,7769,1000.0,0.07506836950778961,-20.03165068,0.0003,0.2683462701737881,0.2,0.03134765625,1230,-0.0036113772890530526,0.9953681500628591,-0.44391580671072006,0.027058586
125,65,512000,7830,1000.0,0.24933022260665894,-19.85725466,0.0003,0.5336550563573838,0.2,0.01884765625,1240,-0.002124320704024285,0.9930395255796611,-0.3903279289603233,0.0033712592
126,65,516096,7893,1000.0,0.10938554257154465,-20.06737739,0.0003,0.36997872926294806,0.2,0.024169921875,1250,-0.0011359123571310192,0.9937951532192528,-0.3891166150569916,0.007697033
127,65,520192,7953,1000.0,0.5181028842926025,-19.78500233,0.0003,1.0272560372948647,0.2,0.0119384765625,1260,-0.0004933941701892764,0.9928929703310132,-0.6572507619857788,0.0007647181
128,65,524288,8013,1000.0,0.13442526757717133,-19.576650559999997,0.0003,0.5109556145966053,0.2,0.0578125,1270,0.0012265608180314302,0.9940305976197124,-0.7320910066366195,0.009365841
129,65,528384,8076,1000.0,0.2719171941280365,-20.25858658,0.0003,0.721824423968792,0.2,0.064501953125,1280,0.001466392126167193,0.9940702491439879,-0.8764693051576614,0.0036572556
130,65,532480,8140,1000.0,0.39615288376808167,-19.867169720000003,0.0003,0.9463534094393253,0.2,0.0580078125,1290,-0.0005692747887223959,0.9860246293246746,-0.9676498040556908,0.017279077
131,65,536576,8204,1000.0,0.18888679146766663,-20.083601260000002,0.0003,0.6843238770961761,0.2,0.1613037109375,1300,0.006346564379055053,0.9934508297592402,-1.0148379072546958,0.008069425
132,65,540672,8268,1000.0,0.18463106453418732,-20.019712549999998,0.0003,0.469175536185503,0.2,0.255224609375,1310,0.009096282126847655,0.9944306272082031,-1.050498726963997,0.010847557
133,65,544768,8333,1000.0,0.4418630003929138,-19.49909836,0.0003,0.962228137254715,0.2,0.146728515625,1320,-0.004949850105913356,0.9881967296823859,-1.0397170811891556,0.011527536
134,65,548864,8395,1000.0,0.23607589304447174,-19.43566235,0.0003,0.44523107409477236,0.2,0.1317626953125,1330,0.0032063369115348907,0.9942330773919821,-1.064450903236866,0.009634785
135,65,552960,8455,1000.0,0.11908245831727982,-19.24824846,0.0003,0.3198440156877041,0.2,0.0656494140625,1340,0.0014650827622972428,0.9960374385118484,-0.9592206388711929,0.025820468
136,65,557056,8519,1000.0,0.15346959233283997,-19.230622760000003,0.0003,0.321362366527319,0.2,0.0527099609375,1350,-0.0014087002782616764,0.9970293182414025,-1.0413698062300683,0.0025958791
137,65,561152,8580,1000.0,0.15658822655677795,-19.343111629999996,0.0003,0.3377346027642488,0.2,0.055029296875,1360,0.0006848940916825086,0.9961543418467045,-1.0517868533730508,0.0424764
