train/n_updates,train/value_loss,time/time_elapsed,train/std,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
10699,0.27569785714149475,312,0.606360912322998,10700,85600,-0.364060640335083,-3.634021759033203,274,1.9859987497329712,0.00096,425.15,-91.55632192000002
10799,0.01736726611852646,314,0.6053102612495422,10800,86400,-0.5433167219161987,-3.6224465370178223,274,0.14968225359916687,0.00096,424.05,-91.80938181999998
10899,0.4036937355995178,316,0.608115553855896,10900,87200,-10.30933666229248,-3.642815113067627,275,-1.2916967868804932,0.00096,428.52,-91.73451865000001
10999,0.4217017590999603,318,0.6053568124771118,11000,88000,0.06576132774353027,-3.6225388050079346,275,-2.099092483520508,0.00096,428.79,-91.76958673000001
11099,0.12437911331653595,321,0.603478193283081,11100,88800,0.7462035715579987,-3.6029696464538574,276,1.140648603439331,0.00096,428.79,-91.76958673000001
11199,0.10584628582000732,323,0.6063200235366821,11200,89600,-0.09119892120361328,-3.620312213897705,277,1.1363813877105713,0.00096,444.02,-90.62997198000001
11299,0.022060155868530273,325,0.6054531931877136,11300,90400,-0.575304388999939,-3.619374990463257,277,-0.08656559139490128,0.00096,444.02,-90.62997198000001
11399,0.04965325444936752,327,0.6030377745628357,11400,91200,0.8817153573036194,-3.601996898651123,278,0.014903474599123001,0.00096,457.32,-89.53607688
11499,0.026708049699664116,329,0.60347980260849,11500,92000,0.8091037571430206,-3.6149630546569824,278,0.1658906191587448,0.00096,457.32,-89.53607688
11599,1.3347828388214111,332,0.6034955978393555,11600,92800,-145.5420379638672,-3.6078226566314697,279,-3.708552122116089,0.00096,472.3,-87.93956548
11699,18.627376556396484,334,0.6019721031188965,11700,93600,-8.905471801757812,-3.601647138595581,279,11.132229804992676,0.00096,454.05,-88.03511807999999
11799,0.43167513608932495,337,0.597938060760498,11800,94400,-0.3341609239578247,-3.571925163269043,280,-1.7722997665405273,0.00096,454.05,-88.03511807999999
11899,0.442710816860199,339,0.5944249629974365,11900,95200,-2.8260679244995117,-3.547031879425049,280,1.1026352643966675,0.00096,469.27,-86.37133295999998
11999,0.34203776717185974,343,0.5963426232337952,12000,96000,0.5054676830768585,-3.560227394104004,279,-1.7363345623016357,0.00096,469.27,-86.37133295999998
12099,0.1413324624300003,346,0.5981729030609131,12100,96800,-1.473891019821167,-3.5706324577331543,279,0.3606574237346649,0.00096,469.12,-86.20417164999999
12199,0.1951758861541748,348,0.5973156690597534,12200,97600,-1.3289532661437988,-3.558788299560547,279,1.4427300691604614,0.00096,458.27,-86.45484382999999
12299,16.752185821533203,352,0.5958974361419678,12300,98400,0.43451738357543945,-3.5508456230163574,279,-14.67867374420166,0.00096,442.22,-85.8655507
12399,1.2247415781021118,354,0.5950510501861572,12400,99200,-1.1761817932128906,-3.5426626205444336,279,-1.3542394638061523,0.00096,443.32,-85.81819260000002
12499,2.08811616897583,357,0.5892444849014282,12500,100000,0.41558051109313965,-3.5105881690979004,279,3.5983471870422363,0.00096,436.17,-85.86050558999999
12599,0.045621372759342194,360,0.5865272879600525,12600,100800,0.18680733442306519,-3.4890847206115723,279,0.6676701307296753,0.00096,427.87,-85.79055373000001
12699,0.20096822082996368,363,0.5882418155670166,12700,101600,-0.8471680879592896,-3.511098861694336,279,1.1969906091690063,0.00096,430.45,-84.90054813
12799,0.1447446197271347,366,0.5861823558807373,12800,102400,0.873541995882988,-3.4961931705474854,279,1.2172565460205078,0.00096,430.26,-84.4920242
