train/learning_rate,train/value_loss,train/policy_loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,time/fps,train/entropy_loss,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean
0.0007,1.027772668749094e-06,0.0001538945216452703,-3.996738910675049,45399,313.01,383,-0.20786653459072113,45400,592,227000,313.01
0.0007,3.669760246793885e-07,3.72858157788869e-05,-60.31304168701172,45499,317.77,383,-0.2617812752723694,45500,593,227500,317.77
0.0007,4.419009371758875e-07,0.00010712108633015305,-8.087804794311523,45599,322.5,383,-0.22346575558185577,45600,594,228000,322.5
0.0007,3.644521484602592e-06,2.9000924769206904e-05,-0.8219618797302246,45699,327.28,383,-0.09573426842689514,45700,595,228500,327.28
0.0007,3.7865248714297195e-07,1.9783416064456105e-05,0.41812586784362793,45799,332.07,384,-0.18049386143684387,45800,596,229000,332.07
0.0007,6.871996447443962e-07,-0.0006484284531325102,-11.771081924438477,45899,336.85,384,-0.1289549171924591,45900,597,229500,336.85
0.0007,1.4018733907050773e-07,-0.00020851624140050262,-78.27891540527344,45999,341.59,384,-0.10794217884540558,46000,597,230000,341.59
0.0007,2.298818571944139e-06,4.697825715993531e-05,-0.13216757774353027,46099,346.36,384,-0.13321998715400696,46100,598,230500,346.36
0.0007,1.8396648329144227e-06,0.00024020194541662931,0.3151509761810303,46199,350.98,385,-0.2519659996032715,46200,599,231000,350.98
0.0007,4.2716742427728605e-06,5.276595038594678e-05,-0.09171617031097412,46299,355.57,385,-0.11740519851446152,46300,600,231500,355.57
0.0007,9.918352361637517e-07,5.958008114248514e-05,-1.3611998558044434,46399,360.16,385,-0.21040375530719757,46400,601,232000,360.16
0.0007,1.1949217650908395e-06,0.0001559225347591564,-0.4680593013763428,46499,364.69,385,-0.3019314706325531,46500,602,232500,364.69
0.0007,1.2202189054733026e-06,2.0116556697757915e-05,-1.6775870323181152,46599,369.19,385,-0.10425525158643723,46600,603,233000,369.19
0.0007,1.9987462565040914e-06,0.00014708760136272758,-0.5763001441955566,46699,373.78,386,-0.1566305011510849,46700,604,233500,373.78
0.0007,2.0772101834154455e-06,3.810296766459942e-05,-0.3864806890487671,46799,378.38,386,-0.1252836436033249,46800,605,234000,378.38
0.0007,7.225899025797844e-07,2.1559624656219967e-05,-2.519857406616211,46899,382.98,386,-0.13045234978199005,46900,606,234500,382.98
0.0007,7.089693276896014e-09,2.037233571172692e-06,nan,46999,387.39,386,-0.14163842797279358,47000,607,235000,387.39
0.0007,2.7555856831895653e-06,0.0005349359125830233,-1.3174686431884766,47099,391.92,387,-0.11840461939573288,47100,608,235500,391.92
0.0007,4.539231213129824e-06,6.242373638087884e-05,-2.1037397384643555,47199,396.28,387,-0.12735609710216522,47200,609,236000,396.28
0.0007,1.5427125390488072e-06,0.00012959270679857582,-0.9017425775527954,47299,400.67,387,-0.2384084314107895,47300,610,236500,400.67
0.0007,8.328119633915776e-07,6.60916475681006e-06,-0.08674633502960205,47399,404.79,387,-0.047164034098386765,47400,611,237000,404.79
0.0007,1.06348886674823e-06,-4.709431595983915e-05,-1.8858940601348877,47499,409.33,387,-0.14474527537822723,47500,612,237500,409.33
0.0007,3.112899094048771e-06,2.8015122097713174e-06,-0.4591376781463623,47599,413.62,388,-0.013599544763565063,47600,613,238000,413.62
0.0007,9.080395102500916e-09,-7.309121770049387e-07,0.8243996053934097,47699,417.86,388,-0.059564173221588135,47700,613,238500,417.86
0.0007,1.909513912323746e-06,0.0001608287129784003,-0.506455659866333,47799,422.31,388,-0.2365543097257614,47800,614,239000,422.31
0.0007,6.940798016330518e-07,4.9480902816867456e-05,-1.5857410430908203,47899,426.8,389,-0.21235378086566925,47900,615,239500,426.8
0.0007,1.4049816172700957e-06,0.00015440194692928344,-1.8146984577178955,47999,431.17,389,-0.1959947794675827,48000,616,240000,431.17
0.0007,2.0150562249909854e-06,0.00020438796491362154,-0.26132702827453613,48099,435.38,389,-0.2703064978122711,48100,617,240500,435.38
0.0007,2.1591665699816076e-06,0.00022917693422641605,-0.23565495014190674,48199,439.53,390,-0.24227440357208252,48200,617,241000,439.53
0.0007,1.1853292107844027e-06,1.4255659152695443e-05,-2.3993287086486816,48299,443.81,390,-0.0858907699584961,48300,618,241500,443.81
0.0007,7.852912062844553e-07,-0.00015730925952084363,-176.4769287109375,48399,447.91,390,-0.24652867019176483,48400,619,242000,447.91
0.0007,3.3366261504852446e-06,0.0009819819824770093,-9.797662734985352,48499,452.05,391,-0.14925402402877808,48500,620,242500,452.05
